Ubicación,Costo_promedio,Costo_min,Costo_max,Cantidad
"Bello, Comuna 2, Nuevo",1500000,1500000,1500000,1
"Bogotá, Barrios Unidos, El Rosario",3210000,3210000,3210000,1
"Bogotá, Chapinero, Chicó Norte",5800000,5800000,5800000,1
"Bogotá, Fontibón, Cjr Modelia",2000000,2000000,2000000,1
"Bogotá, Kennedy, Ciudad Kennedy Norte",1250000,1250000,1250000,1
"Bogotá, Usaquén, Country Club",3850000,3850000,3850000,1
"Cali, Comuna 19, Pampa Linda",1600000,1600000,1600000,1
"El Carmen De Viboral, Villa María",1250000,1250000,1250000,1
"Envigado, Comuna 9, Zúñiga",12000000,12000000,12000000,1
"Funza, La Aurora",1250000,1250000,1250000,1
"Girardot, Comuna 3, La Esperanza",1200000,1200000,1200000,1
"Itagüí, Comuna 1, Centro",1600000,1600000,1600000,1
"Medellín, Belén, San Bernardo",2000000,2000000,2000000,1
"Medellín, La Candelaria, Villanueva",4600000,4600000,4600000,1
"Medellín, Laureles Estadio, La Castellana",2350000,2350000,2350000,2
"Medellín, Medellín",1300000,1300000,1300000,1
"Medellín, Robledo, Cucaracho",850000,850000,850000,1
"Medellín, Robledo, San German",2350000,2350000,2350000,1
"Pereira, Batallon San Mateo, A.S.D.",2200000,2200000,2200000,2
"Zipaquirá, Comuna 3, Villa Marina",1300000,1300000,1300000,1
